"Country","Talk Groups","Name"
"USA","3124","Maryland"
"USA","3125","Massachusetts"
"USA","3126","Michigan"
"USA","3127","Minnesota"
"USA","3128","Mississippi"
"USA","3129","Missouri"
"USA","3130","Montana"
"USA","31290","NA Talk Box"
"USA","3131","Nebraska"
"USA","3132","Nevada"
"USA","3133","New Hampshire"
"USA","3134","New Jersey"
"USA","3135","New Mexico"
"USA","3136","New York"
"USA","3137","North Carolina"
"USA","3138","North Dakota"
"USA","3139","Ohio"
"USA","3140","Oklahoma"
"USA","3141","Oregon"
"USA","3142","Pennsylvania"
"USA","3143","Puerto Rico"
"USA","3144","Rhode Island"
"USA","3145","South Carolina"
"USA","3146","South Dakota"
"USA","3147","Tennessee"
"USA","3148","Texas"
"USA","3149","Utah"
"USA","3150","Vermont"
"USA","3151","Virginia"
"USA","3152","Virgin Islands"
"USA","3153","Washington"
"USA","3154","West Virginia"
"USA","3155","Wisconsin"
"USA","3156","Wyoming"
"USA","31060","California Link"
"USA","31061","CA TAC"
"USA","316501","Worldwide Network"
"USA","3160","Crossroads-USA Reflector"
"USA","3161","New England"
"USA","3162","La Isla"
"USA","31068","NorCal"
"USA","3165","USA SOUTHEAST"
"USA","31069","Bay Area Digital - California"
"USA","3166","DVSwitch"
"USA","31341","South Jersey"
"USA","31342","North Jersey"
"USA","31601","NC4ES Chat 1"
"USA","31602","NC4ES Chat 2"
"USA","31603","NC4ES AUXCOMM"
"USA","31604","NC4ES RF Link"
"USA","31605","NC4ES EHPC"
"USA","31611","XPR Pinoy Network"
